date,new_deaths
2020-01-22,0.0
2020-01-23,0.0
2020-01-24,0.0
2020-01-25,0.0
2020-01-26,0.0
2020-01-27,0.0
2020-01-28,0.0
2020-01-29,0.0
2020-01-30,0.0
2020-01-31,0.0
2020-02-01,0.0
2020-02-02,0.0
2020-02-03,0.0
2020-02-04,0.0
2020-02-05,0.0
2020-02-06,0.0
2020-02-07,0.0
2020-02-08,0.0
2020-02-09,0.0
2020-02-10,0.0
2020-02-11,0.0
2020-02-12,0.0
2020-02-13,0.0
2020-02-14,0.0
2020-02-15,0.0
2020-02-16,0.0
2020-02-17,0.0
2020-02-18,0.0
2020-02-19,0.0
2020-02-20,0.0
2020-02-21,0.0
2020-02-22,0.0
2020-02-23,0.0
2020-02-24,0.0
2020-02-25,0.0
2020-02-26,0.0
2020-02-27,0.0
2020-02-28,0.0
2020-02-29,1.0
2020-03-01,0.0
2020-03-02,5.0
2020-03-03,1.0
2020-03-04,4.0
2020-03-05,1.0
2020-03-06,2.0
2020-03-07,3.0
2020-03-08,4.0
2020-03-09,1.0
2020-03-10,6.0
2020-03-11,5.0
2020-03-12,10.0
2020-03-13,8.0
2020-03-14,7.0
2020-03-15,12.0
2020-03-16,27.0
2020-03-17,37.0
2020-03-18,60.0
2020-03-19,72.0
2020-03-20,106.0
2020-03-21,103.0
2020-03-22,128.0
2020-03-23,189.0
2020-03-24,241.0
2020-03-25,336.0
2020-03-26,416.0
2020-03-27,519.0
2020-03-28,673.0
2020-03-29,592.0
2020-03-30,711.0
2020-03-31,1082.0
2020-04-01,1275.0
2020-04-02,1515.0
2020-04-03,1406.0
2020-04-04,1609.0
2020-04-05,1632.0
2020-04-06,1737.0
2020-04-07,2570.0
2020-04-08,2153.0
2020-04-09,2215.0
2020-04-10,2188.0
2020-04-11,2138.0
2020-04-12,1892.0
2020-04-13,1982.0
2020-04-14,2453.0
2020-04-15,2591.0
2020-04-16,2198.0
2020-04-17,2113.0
2020-04-18,1940.0
2020-04-19,1989.0
2020-04-20,2243.0
2020-04-21,2458.0
2020-04-22,2473.0
2020-04-23,2435.0
2020-04-24,2178.0
2020-04-25,1724.0
2020-04-26,1413.0
2020-04-27,1495.0
2020-04-28,2228.0
2020-04-29,2398.0
2020-04-30,2181.0
2020-05-01,1911.0
2020-05-02,1735.0
2020-05-03,1199.0
2020-05-04,1377.0
2020-05-05,2207.0
2020-05-06,2321.0
2020-05-07,1919.0
2020-05-08,1759.0
2020-05-09,1469.0
2020-05-10,991.0
2020-05-11,1037.0
2020-05-12,1597.0
2020-05-13,1723.0
2020-05-14,1775.0
2020-05-15,1665.0
2020-05-16,1201.0
2020-05-17,829.0
2020-05-18,1228.0
2020-05-19,1452.0
2020-05-20,1499.0
2020-05-21,1187.0
2020-05-22,1225.0
2020-05-23,1080.0
2020-05-24,640.0
2020-05-25,598.0
